"filename", "language", "JSON with Comments", "TypeScript", "XML", "PostCSS", "TypeScript JSX", "JSON", "Python", "Markdown", "MS SQL", "comment", "blank", "total"
"d:\Exam-paper\backend\.venv\Lib\site-packages\PyMuPDF-1.24.1.dist-info\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, -31, -59
"d:\Exam-paper\backend\.venv\Lib\site-packages\PyMuPDFb-1.24.1.dist-info\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, -3, -8
"d:\Exam-paper\backend\.venv\Lib\site-packages\anthropic\lib\foundry.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -94, 0, 0, -33, -127
"d:\Exam-paper\backend\.venv\Lib\site-packages\bracex-2.6.dist-info\licenses\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, -5, -22
"d:\Exam-paper\backend\.venv\Lib\site-packages\deepagents\base_prompt.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -33, 0, 0, -18, -51
"d:\Exam-paper\backend\.venv\Lib\site-packages\docling_parse\pdf_resources\cmap-resources\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, -6, -29
"d:\Exam-paper\backend\.venv\Lib\site-packages\docling_parse\pdf_resources\cmap-resources\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -302, 0, 0, -52, -354
"d:\Exam-paper\backend\.venv\Lib\site-packages\docling_parse\pdf_resources_v2\cmap-resources\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, -6, -29
"d:\Exam-paper\backend\.venv\Lib\site-packages\docling_parse\pdf_resources_v2\cmap-resources\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -302, 0, 0, -52, -354
"d:\Exam-paper\backend\.venv\Lib\site-packages\docstring_parser-0.17.0.dist-info\licenses\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, -5, -22
"d:\Exam-paper\backend\.venv\Lib\site-packages\fire\console\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -1, -4
"d:\Exam-paper\backend\.venv\Lib\site-packages\flask\sansio\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, -2, -7
"d:\Exam-paper\backend\.venv\Lib\site-packages\httpcore-1.0.9.dist-info\licenses\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -22, 0, 0, -6, -28
"d:\Exam-paper\backend\.venv\Lib\site-packages\httpx-0.28.1.dist-info\licenses\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, -6, -13
"d:\Exam-paper\backend\.venv\Lib\site-packages\huggingface_hub\templates\datasetcard_template.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -58, 0, -19, -67, -144
"d:\Exam-paper\backend\.venv\Lib\site-packages\huggingface_hub\templates\modelcard_template.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -88, 0, -20, -93, -201
"d:\Exam-paper\backend\.venv\Lib\site-packages\idna-3.11.dist-info\licenses\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, -7, -32
"d:\Exam-paper\backend\.venv\Lib\site-packages\imgaug\external\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, -1, -7
"d:\Exam-paper\backend\.venv\Lib\site-packages\langsmith\cli\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, -2, -4
"d:\Exam-paper\backend\.venv\Lib\site-packages\lazy_loader-0.4.dist-info\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, -7, -30
"d:\Exam-paper\backend\.venv\Lib\site-packages\onnxruntime\Privacy.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -8, -22
